56.75,1977.26,99.27,R
19.44,656.28,65.56,S
21.07,710.02,69.68,S
21.17,655.47,59.37,S
20.48,693.42,69.57,S
13.72,384.74,56.96,S
16.65,566.08,60.3,S
15.26,479.25,59.98,S
14.22,427.68,55.65,S
16.32,497.13,61.17,S
16.19,468.78,55.02,S
38.63,1022.44,81.06,T
39.74,1064.75,75.95,T
37.18,1071.47,77.49,T
43.88,1177.48,85.32,T
43.21,1144.75,71.75,T
40.84,1088.48,84.1,T
40.78,1089.76,82.66,T
42.74,1228.28,80.54,T
42.39,1281.06,77.98,T
41.46,1242.41,76.83,T
51.42,1969.6,99.67,U
53.79,2143.17,102.02,U
50.79,1912.56,111.75,U
55.9,2220.45,99.83,U
51.39,1867.83,100.39,U
54.58,2169.89,101.13,U
53.79,2076.29,101.2,U
53.98,2056.37,97.04,U
54.34,2052.74,100.85,U
51.05,1839.51,106.97,U
75.36,3345.77,100.43,V
76.01,3294.71,100.05,V
73.85,3317.24,100.82,V
74.07,3325,100.71,V
72.43,3092.74,102.73,V
73.86,3392.36,99.88,V
65.79,3052.93,99.08,V
73.79,3461.21,98.32,V
71.9,3324.41,101.08,V
64.59,3010.93,82.91,V
54.93,2262.11,88.54,W
54.63,2274.35,92.14,W
54.9,2293.49,90.98,W
51.77,2112.34,87.85,W
53.17,2243.59,88.01,W
56.37,2248.2,89.62,W
55.13,2302.51,88.48,W
53.07,2224.1,87.16,W
56.8,2452.05,87.85,W
56.24,2322.66,88.24,W
51.6,1790.46,76.35,X
49.87,1670.33,79.48,X
46.31,1511.46,81.56,X
46.9,1726.85,85.54,X
47.07,1758.97,81.22,X
48,1698.36,86.8,X
48.42,1771.26,76.72,X
45.64,1585.26,83.77,X
46.77,1654.48,71.26,X
46.05,1506.27,84.71,X
43.06,1295.38,72.72,Y
44.17,1316.37,70.98,Y
38.63,1144.78,68.93,Y
33.24,953.34,68.83,Y
33.11,993.36,71.17,Y
39.89,1136.14,74.44,Y
40.26,1167.79,68.01,Y
40.84,1199.67,72.43,Y
39.9,1153.05,68.66,Y
40.17,1153.21,77.97,Y
53.84,2033.77,197.95,Z
55.04,2005.41,192.91,Z
52.71,1876.28,188.53,Z
53.76,1928.57,171.25,Z
53.38,1903.69,188.85,Z
52.98,1822.79,145.85,Z
52.65,1840.15,179.21,Z
50.64,1758.4,159.7,Z
50.88,1724.81,185.67,Z
49.97,1802.74,166.53,Z
